"Cleanup ID",Zone,State,Country,GPS,"Cleanup Type","Cleanup Date","Group Name",Adults,Children,People,Pounds,Miles,"# of bags","Cigarette Butts","Food Wrappers (candy, chips, etc.)","Take Out/Away Containers (Plastic)","Take Out/Away Containers (Foam)","Bottle Caps (Plastic)","Bottle Caps (Metal)","Lids (Plastic)","Straws, Stirrers","Forks, Knives, Spoons","Beverage Bottles (Plastic)","Beverage Bottles (Glass)","Beverage Cans","Grocery Bags (Plastic)","Other Plastic Bags","Paper Bags","Cups, Plates (Paper)","Cups, Plates (Plastic)","Cups, Plates (Foam)","Fishing Buoys, Pots & Traps","Fishing Net & Pieces","Fishing Line (1 yard/meter = 1 piece)","Rope (1 yard/meter = 1 piece)","Fishing Gear (Clean Swell)","6-Pack Holders","Other Plastic/Foam Packaging","Other Plastic Bottles (oil, bleach, etc.)","Strapping Bands","Tobacco Packaging/Wrap","Other Packaging (Clean Swell)","Appliances (refrigerators, washers, etc.)",Balloons,"Cigar Tips","Cigarette Lighters","Construction Materials",Fireworks,Tires,Toys,"Other Trash (Clean Swell)",Condoms,Diapers,Syringes,"Tampons/Tampon Applicators","Personal Hygiene (Clean Swell)","Foam Pieces","Glass Pieces","Plastic Pieces","Total Items Collected"
81470,"Los Angeles County, CA, USA","California, USA","United States","33.70836, -118.27781","Land (beach, shoreline and inland)",2019-09-21,,1,0,1,2,0.7476,0,41,6,0,0,5,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,12,87
81471,"Ventura County, CA, USA","California, USA","United States","34.27883, -118.70798","Land (beach, shoreline and inland)",2019-09-21,"Miss Simi Valley ",4,0,4,4,0.0072,0,6,7,0,0,0,0,2,3,0,2,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,12,45
81473,"Los Angeles County, CA, USA","California, USA","United States","33.70968, -118.28405","Land (beach, shoreline and inland)",2019-09-21,,3,0,3,5.39,6.9346,0,13,10,0,1,4,0,1,3,0,0,1,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,20,0,0,0,0,5,0,0,41,109
81475,"Los Angeles County, CA, USA","California, USA","United States","33.70968, -118.28405","Land (beach, shoreline and inland)",2019-09-21,,3,0,3,5.39,6.9346,0,13,10,0,1,4,0,1,3,0,0,1,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,20,0,0,0,0,5,0,0,41,109
81476,"San Diego County, CA, USA","California, USA","United States","32.65081, -117.10957","Land (beach, shoreline and inland)",2019-09-21,ILACSD,1,0,1,1.3,0.1935,0,0,0,1,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
81477,"Los Angeles County, CA, USA","California, USA","United States","34.17982, -118.09762","Land (beach, shoreline and inland)",2019-09-21,"Eaton f19",1,0,1,1.26,0,0,0,10,0,0,5,0,0,0,0,0,1,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,30
81478,"Santa Cruz County, CA, USA","California, USA","United States","36.97142, -121.91167","Land (beach, shoreline and inland)",2019-09-21,"Ankita, Sara, Shalini, Kimi",4,0,4,4.42,0.0153,0,40,4,3,0,21,0,42,7,7,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,3,10,0,0,0,0,3,0,0,17,166
81479,"San Francisco County, CA, USA","California, USA","United States","37.74008, -122.37637","Land (beach, shoreline and inland)",2019-09-21,"Heron's head Marine Mammal center",2,0,2,8.92,1.5494,0,12,15,2,0,3,0,0,1,0,0,3,1,9,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,3,0,2,0,0,0,0,0,0,40,0,0,0,0,3,0,0,28,125
81481,"Santa Barbara County, CA, USA","California, USA","United States","34.45955, -120.02604","Land (beach, shoreline and inland)",2019-09-21,"Explore ecology",1,0,1,13,0.0157,0,8,0,2,0,4,0,2,1,0,6,12,13,4,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,14,0,1,0,0,0,0,0,0,8,0,0,0,0,2,0,0,33,113
81482,"Santa Cruz County, CA, USA","California, USA","United States","36.96106, -122.02491","Land (beach, shoreline and inland)",2019-09-21,"Maps Environment",2,0,2,8.78,1.4223,0,30,30,1,10,13,0,0,10,5,7,0,3,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,20,0,0,0,0,0,0,0,3,10,0,0,0,0,0,0,0,50,196
81483,"Los Angeles County, CA, USA","California, USA","United States","34.15481, -118.16594","Land (beach, shoreline and inland)",2019-09-21,PCC-74620,1,0,1,0.8,0.3718,0,2,3,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,11
81484,"Ventura County, CA, USA","California, USA","United States","34.24649, -119.26581","Land (beach, shoreline and inland)",2019-09-21,Ploggers,3,0,3,3,0.2993,0,5,16,3,0,7,0,0,3,2,0,9,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,16,0,0,0,0,0,0,0,44,118
81487,"Alameda County, CA, USA","California, USA","United States","37.80531, -122.32549","Land (beach, shoreline and inland)",2019-09-21,"Coastal cleanup day",2,0,2,25,3.223,0,156,21,20,8,32,0,4,8,5,2,20,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,261,0,0,0,0,1,0,0,188,736
